句子,朝代,解释
"谁家玉笛暗飞声
散入春风满洛城",出自唐代 李白《春夜洛城闻笛》,"解释：这是从谁家飘出的悠扬笛声呢？它随着春风飘扬，传遍洛阳全城。

赏析：此句是诗人的想象，也是艺术的夸张，扣紧一个“闻”字，抒写了诗人闻笛的感受，想象笛声散入洛阳城中，衬出笛声的动人、夜的安静。"
"风一更
雪一更
聒碎乡心梦不成
故园无此声",出自清代 纳兰性德《长相思·山一程》,"解释：帐篷外风声不断，雪花不住，嘈杂的声音打碎了思乡的梦，想到远隔千里的家乡没有这样的声音啊。

赏析：此句描写塞外狂风骤雪的荒寒景象，以哀景衬伤情，风雪载途，行者乡思更烈，表现了一夜征人尽望乡的愁肠百转的心态。"
"举杯邀明月
对影成三人",出自唐代 李白《月下独酌·其一》,"解释：举杯向天，邀请明月与我共饮，月影与我的影子相对，便映照出三人。

赏析：此句描写了诗人独饮时所产生的寂寥之感，他邀请明月和自己的影子一起共饮，表现出一种孤寂忧愁的情怀。"
"萧萧梧叶送寒声
江上秋风动客情",出自宋代 叶绍翁《夜书所见》,"解释：瑟瑟的秋风吹动梧桐树叶，送来阵阵寒意，江上秋风吹来不禁思念起自己的家乡。

赏析：此句描写落木萧萧，寒声阵阵的自然环境，塑造了凄怆落寞的气氛，此萧索之景引发了诗人思乡的愁绪。"
"但愿人长久
千里共婵娟",出自宋代 苏轼《水调歌头·明月几时有》,"解释：只希望这世上所有人的亲人都能平安健康长寿，即使相隔千里也能一起欣赏这美好的月亮。

赏析：但愿人们年年平安，相隔千里也能够共享这美好的月光，表达了诗人的祝福和对亲人的思念，表现了诗人旷达的态度和乐观的精神。"
"惟有门前镜湖水
春风不改旧时波",出自唐代 贺知章《回乡偶书二首》,"解释：只有门前那在春风吹拂下泛起一圈一圈涟漪的镜湖的碧水，还是旧时模样。

赏析：诗人独立镜湖之旁，一种“物是人非”的感触自然涌上了他的心头，强调除湖波以外，昔日的人事几乎已经变化净尽了，表达了诗人对人事无常的慨叹。"
"乱山残雪夜
孤烛异乡人",出自唐代 崔涂《巴山道中除夜书怀》,"解释：乱山上残雪在黑夜里闪光，一支烛火陪伴着我这异乡的人。

赏析：诗人描绘出了异乡除夜的凄凉，“孤烛”照孤客，孤客对“孤烛”，物态人情，相互映衬，有力地揭示出诗人孤苦的心境。"
"巴山楚水凄凉地
二十三年弃置身",出自唐代 刘禹锡《酬乐天扬州初逢席上见赠》,"解释：被贬谪到巴山楚水这些荒凉的地区，度过了二十三年沦落的光阴。

赏析：诗人通过“凄凉地”和“弃置身”这些富有感情色彩的字句的渲染，写出诗人长期谪居的痛苦经历，让读者感觉到诗人抑制已久的愤激心情。"
"浊酒一杯家万里
燕然未勒归无计",出自宋代 范仲淹《渔家傲·秋思》,"解释：饮一杯浊酒，不由得想起万里之外的亲人，眼下战事未平，功名未立，还不能早作归计。

赏析：词人防守危城，天长日久，难免起乡关之思，这“一杯”与“万里”数字之间形成了悬殊的对比， 一杯浊酒，消不了浓重的乡愁，造语雄浑有力，乡愁皆因“燕然未勒归无计”而产生。"
"借问梅花何处落
风吹一夜满关山",出自唐代 高适《塞上听吹笛》,"解释：试问饱含离情的《梅花曲》飘向何处？它仿佛像梅花一样随风落满了关山。

赏析：诗人将“梅花落”拆用，构成一种虚景，与雪净月明的实景配搭和谐，虚实交错，构成美妙阔远的意境，流露出诗人淡淡的思乡之情。"
"悠悠天宇旷
切切故乡情",出自唐代 张九龄《西江夜行》,"解释：天空辽阔悠远，思念故乡的情思越发哀切。

赏析：此句对仗工整，两个叠词用得自然贴切，诗人遥望天空，对故乡的思恋之情愈加浓烈。"
"一年将尽夜
万里未归人",出自唐代 戴叔伦《除夜宿石头驿》,"解释：今夜是一年中的最后一个夜晚，我却万里漂泊未能归家。

赏析：此句言简意赅，措辞凝练，写诗人除夕之夜，流落在外，独自一人，举目无亲，其飘零异乡之感，悲痛万分，让人感受到了离愁别绪的浓郁气息。"
"总为浮云能蔽日
长安不见使人愁",出自唐代 李白《登金陵凤凰台》,"解释：悠悠浮云总是遮蔽太阳的光辉，登高不见长安城，怎么不让人内心沉痛忧郁。

赏析：长安是朝廷的所在，日是帝王的象征，此句暗示皇帝被奸邪包围，而自己报国无门，抒发了诗人忧国伤时的情怀。"
"多少天涯未归客
尽借篱落看秋风",出自明代 唐寅《菊花》,"解释：有多少远在他方为客的未归人啊，只能借着篱笆看看秋天的景色。

赏析：诗人托物起兴，以菊花自比，在开放的秋菊中看尽了浓浓衰飒的秋意，也象征着诗人自身的高洁品格。"
"少小离家老大回
乡音无改鬓毛衰",出自唐代 贺知章《回乡偶书》,"解释：年少时离开了家乡如今到老才还乡，我的乡音虽未改变，但鬓发却已经稀疏斑白。

赏析：诗句点明离家与回乡相距年岁之久、时间之遥，用“少小离家”与“老大回”的句中自对，概括写出数十年久客他乡的事实，暗寓自伤“老大”之情，蕴藏着诗人很深的感慨。"
"君自故乡来
应知故乡事",出自唐代 王维《杂诗三首·其二》,"解释：您是刚从我们家乡来的，一定了解家乡的人情世态。

赏析：诗人以一种不加修饰、接近于生活的自然状态的形式，传神地表达了对家乡的思念。"
"羁鸟恋旧林
池鱼思故渊",出自魏晋 陶渊明《归园田居·其一》,"解释：笼子里的鸟儿怀念以前生活的森林，池子里的鱼儿思念原来嬉戏的深潭。

赏析：诗人以“羁鸟”、“池鱼”比喻自己误入尘网，不幸受到世俗的羁绊，表达了诗人从对官场生活的强烈厌倦，流露出归隐田园的渴望，后人常用此句来表达不堪束缚、渴望自由的志趣。"
"残星几点雁横塞
长笛一声人倚楼",出自唐代 赵嘏《长安晚秋》,"解释：残星点点大雁南飞越关塞，悠扬笛声里我独倚高楼。

赏析：“残星几点”是目见，“长笛一声”是耳闻；“雁横塞”取动势，“人倚楼”取静态，诗人借景抒情，表达了羁留他乡的郁闷之情。"
"洛阳城里见秋风
欲作家书意万重",出自唐代 张籍《秋思》,"解释：洛阳城里刮起了秋风，心中思绪翻涌想写封家书问候平安。

赏析：诗人借助日常生活中一个的片断——欲写家书之际的意念和情态，细腻地表达了对家乡亲人的深切怀念。"
"离别家乡岁月多
近来人事半消磨",出自唐代 贺知章《回乡偶书二首》,"解释：已经离开家乡很多年了，回家后才感觉到家乡的人事都已变化太多。

赏析：此句中的“岁月多”、“近来”等表示时间的词语贯穿而下，流露出诗人离家漂泊、物是人非的感慨。"
"一叫一回肠一断
三春三月忆三巴",出自唐代 李白《宣城见杜鹃花》,"解释：杜鹃鸣叫悲啭，使人愁肠寸断。暮春三月，这鸟鸣花开的时节，心中思念故乡。

赏析：此句点明了时令，诗人将杜鹃花开、子规悲啼和自己的断肠之痛融于一体，抒发了苍茫无涯的愁思。"
日暮乡关何处是？烟波江上使人愁,出自唐代 崔颢《黄鹤楼》,"解释：暮色渐渐漫起，哪里是我的家乡？江面烟波渺渺让人更生烦愁。

赏析：诗人触景生情，江上的雾霭一片迷蒙，诗人眼底也生出的浓浓迷雾，那是一种隐隐的泪花和心系天下苍生的广义乡愁，诗作以一“愁”收篇，准确地表达了日暮时分诗人登临黄鹤楼的心情。"
"此夜曲中闻折柳
何人不起故园情",出自唐代 李白《春夜洛城闻笛》,"解释：客居之夜听到《折杨柳》的曲子，谁又能不生出怀念故乡的愁情？

赏析：此句音韵优美，意境清新，言浅意深，引人共鸣，《折杨柳》曲伤离惜别，其音哀怨幽咽，不经意间激发了诗人的思乡愁绪，可见感触之深，思乡之切。"
"故乡今夜思千里
霜鬓明朝又一年",出自唐代 高适《除夜作》,"解释：故乡的人今夜一定在思念远在千里之外的我，我的鬓发已经变得斑白，到了明年又新增一岁。

赏析：诗人用浅近的口语，表达了除夕夜的寻常感受，将他乡游子真实的感受写得淋漓尽致。"
"羌管悠悠霜满地
人不寐
将军白发征夫泪",出自宋代 范仲淹《渔家傲·秋思》,"解释：远方传来羌笛的悠悠之声，天气寒冷，霜雪满地。夜深了，在外征战的人都难以入睡，无论是将军还是士兵，都被霜雪染白了头发，只好默默地流泪。

赏析：羌管之声给人以凄清、悲凉之感，此句情调苍凉而悲壮，写将士们远戍边疆的愁苦、满怀乡愁的思念，爱国激情，浓重乡思，兼而有之。"
"悲歌可以当泣
远望可以当归",出自两汉 佚名《悲歌》,"解释：悲歌一曲代替思家的哭泣，登高眺望远方就当做返回了故乡。

赏析：诗人以悲歌代替哭泣，表明了深重的悲哀情绪，以远望代替归乡，表明了归家不能的无奈和苦思，此句情感真挚，令人读之深感哀痛。"
"素衣莫起风尘叹
犹及清明可到家",出自宋代 陆游《临安春雨初霁》,"解释：不要叹息那京都的尘土使洁白的衣衫变得污秽，清明时节还来得及回到镜湖边的山阴故家。

赏析：此句语意沉重，道出了诗人羁旅风霜之苦，又寓有京中恶浊，久居为其所化的意思，流露出诗人深深的无奈和愤慨。"
"西北望乡何处是
东南见月几回圆",出自唐代 白居易《八月十五日夜湓亭望月》,"解释：向着西北望也看不到家乡，人在东南看见月亮又圆了好几次。

赏析：诗人以特定空间与特定时间的月亮作今昔对比，抒发了诗人谪居生活的愁闷和浓厚的思乡之情。"
"故国三千里
深宫二十年",出自唐代 张祜《宫词二首·其一》,"解释：与故乡相隔，有三千里之遥远，我已被幽闭在这深宫里二十年了。

赏析：诗人以举重若轻、驭繁如简的笔力，将宫人远离故乡、幽闭深宫的整个遭遇浓缩在短短十个字中，使读者感到其命运更加悲惨，其身世更可同情。"
"马上相逢无纸笔
凭君传语报平安",出自唐代 岑参《逢入京使》,"解释：在马上匆匆相逢没有纸笔写书信，只有托你捎个口信，给家人报平安。

赏析：此句写遇到入京使者时欲捎书回家报平安又苦于没有纸笔的情景，简净之中寄寓着诗人的一片深情，寄至味于淡薄，颇有韵味。"
"不知何处吹芦管
一夜征人尽望乡",出自唐代 李益《夜上受降城闻笛》,"解释：不知何处吹起凄凉的芦管，惹得出征的将士一夜都在思念家乡。

赏析：此句意境悲壮苍凉，以“望乡”一词写出了征人望乡、彻夜难眠的景象，表达出诗人月夜闻笛时的迷惘心情，也写出了人物不尽的乡愁。"
"仍怜故乡水
万里送行舟",出自唐代 李白《渡荆门送别》,"解释：我依然喜爱这来自故乡之水，不远万里来送我东行的小舟。

赏析：此句意境高远，风格雄健，运用了拟人的修辞手法，将故乡水拟人化，借写故乡之水恋恋不舍，表达了诗人离开故乡时依依不舍，思念故乡的感情。"
"共看明月应垂泪
一夜乡心五处同",出自唐代 白居易《望月有感》,"解释：同看明月，分散的亲人都会伤心落泪，夜里思乡的情感各地都相同。

赏析：孤单的诗人凄惶中夜深难寐，举首遥望孤悬夜空的明月，情不自禁联想到飘散在各地的亲人们，以绵邈真挚的诗思，构出一幅五地望月共生乡愁的图景，表达了对亲人的深切思念。"
"独在异乡为异客
每逢佳节倍思亲",出自唐代 王维《九月九日忆山东兄弟》,"解释：一个人独自漂泊在他乡作异客，每逢节日加倍思念远方的亲人。

赏析：诗人在外强烈的异地作客之感，在外越是孤独，对家乡亲人的思念之情就越强烈，诗人平淡地叙述自己身在异乡的漂泊之感，包含着诗人质朴的思乡之情。"
"今年海角天涯
萧萧两鬓生华",出自宋代 李清照《清平乐·年年雪里》,"解释：今年又到梅花开放的时候，我却漂泊天涯，两鬓稀疏的头发也已斑白。

赏析：此句由“今年”两字领起，同上阕的“年年”明显相对，“萧萧两鬓生华”包含着词人许多的辛酸和哀愁，词人南渡后背井离乡，四处奔波，颠沛流离，沦落飘零，生活的折磨使词人很快变得憔悴苍老，头发稀疏，两鬓花白。"
"京口瓜洲一水间
钟山只隔数重山",出自宋代 王安石《泊船瓜洲》,"解释：京口和瓜洲之间只隔着一条长江，钟山就隐没在几座山峦的后面。

赏析：诗人站在瓜洲渡口，放眼南望，“一水间”三字，形容舟行迅疾，抒发了诗人眺望江南、思念家乡的深切感情。"
"他乡共酌金花酒
万里同悲鸿雁天",出自唐代 卢照邻《九月九日登玄武山》,"解释：远在他乡和朋友们喝着菊花酒，身隔万里伤心望着飞向南边的鸿雁。

赏析：诗人与友人共饮菊花酒，借酒消乡愁，又写鸿雁南归，烘托出异乡思归的无奈心情。"
"阶下青苔与红树
雨中寥落月中愁",出自唐代 李商隐《端居》,"解释：台阶下的青苔和庭中被秋霜染红的树叶，在迷蒙的秋雨以及冷冷的清月笼罩下，越发勾起我那悠长的愁绪。

赏析：青苔、红树，在迷濛雨色、朦胧夜月的笼罩下，显示出黯淡模糊的色调，流露出诗人胸怀愁绪而寥落之情。"
"万帐穹庐人醉
星影摇摇欲坠
归梦隔狼河
又被河声搅碎",出自清代 纳兰性德《如梦令·万帐穹庐人醉》,"解释：寂寞独处，不停地饮酒，竟至沉醉。颓卧帐中，抬头仰望，只见满天繁星摇曳，仿佛就要从天空飞坠而下。狼河阻隔，回家的梦，被那河水滔滔之声搅的粉碎。

赏析：此句以穹庐、星影两个不同的物象，于宇宙间两个不同方位为展现背景，并以睡梦和睡醒两种不同的状态通过人物的切身体验，揭示情思。布景与说情，阔大而深长。"
"故园东望路漫漫
双袖龙钟泪不干",出自唐代 岑参《逢入京使》,"解释：向东遥望长安家园路途遥远，思乡之泪沾湿双袖难擦干。

赏析：此句塑造了一位西行途中的旅人形象，朴素、真切地再现了诗人想家想到极点的情态，流露出对故园深切的思念之情。"
"此身如传舍
何处是吾乡",出自宋代 苏轼《临江仙·送王缄》,"解释：我的身躯就好像传舍一样辗转流离，何处才能是我的家乡啊！

赏析：此句用《汉书·盖宽饶传》中：“富贵无常，忽则易人。此如传舍，阅人多矣”之典故，表达了人生如寄的深沉感慨。"
"人归落雁后
思发在花前",出自隋代 薛道衡《人日思归》,"解释：归家的日期落在春回大地北飞的雁群之后，但是想回家的念头却在春花开放以前就有了。

赏析：诗人运用了对比手法，通过“人归雁后”和“思发花前”作对比，表现了诗人急于归乡的心情和无法如愿的无奈。"
"一去紫台连朔漠
独留青冢向黄昏",出自唐代 杜甫《咏怀古迹五首·其三》,"解释：从紫台一去直通向塞外沙漠，最后只留荒郊上的一座孤坟对着黄昏。

赏析：此句简短而雄浑有力，写尽了王昭君一生的悲剧，在哀叹、同情昭君际遇的同时，也表达了诗人对人才被埋没的哀痛。"
"移舟泊烟渚
日暮客愁新",出自唐代 孟浩然《宿建德江》,"解释：把船停泊在烟雾弥漫的沙洲旁，日落时思乡的新愁又涌上了心头。

赏析：诗人以舟泊暮宿作为自己的抒发感情的归宿，描绘了秋江暮色的迷蒙景色，抒发出诗人难以排遣的羁旅之愁。"
"远书归梦两悠悠
只有空床敌素秋",出自唐代 李商隐《端居》,"解释：盼望着爱妻从远方的来信，寻觅归梦慰藉不成，中宵醒后，恍然发觉离别已是悠悠数年，只有那空荡荡的床榻与那寂寥清冷的素秋默默相对。

赏析：此句写诗人盼远书而不至，觅归梦而不成，“悠悠”二字，既形象地显示出远书、归梦的杳邈难期，也传神地表现出希望两皆落空时怅然若失的意态，塑造了清寥凄寒的意境。"
"走马西来欲到天
辞家见月两回圆",出自唐代 岑参《碛中作》,"解释：骑马向西走几乎来到天边，离家以后已见到两次月圆。

赏析：此句从空间落笔，气象壮阔，“欲到天”既写出了边塞离家之远，又展现了西北高原野旷天低的气势，描绘出荒凉大漠无际无涯的朦胧景象，流露出诗人对故乡、对亲人殷切的思念之情。"
"同心而离居
忧伤以终老",出自两汉 佚名《涉江采芙蓉》,"解释：两人相亲相爱却分隔两地不能在一起，愁苦忧伤以至终老异乡。

赏析：此句反映了游子思妇的现实生活与精神生活的痛苦，抒写漂泊异地失意者的离别相思之情。"
"未老莫还乡
还乡须断肠",出自唐代 韦庄《菩萨蛮·人人尽说江南好》,"解释：年华未衰之时不要回乡，回到家乡后必定要愁肠寸断。

赏析：此句说明了词人说“游人只合江南老”的理由，如果回到那弥漫着战乱烽火的故乡，只会有断肠的悲哀，抒发了诗人想回故乡勒欲归不得的盘旋郁结的苦衷。"
"长江悲已滞
万里念将归",出自唐代 王勃《山中》,"解释：长江好似已经滞流，在为我不停地悲伤。万里远游之人，思念着早日回归。

赏析：此句中“长江”和“万里”是从空间上表述诗人远在外地他乡，归家的路途遥远，“已滞”和“将归”是从时间上表明诗人长期滞留他乡，还没有归去，抒发了诗人怀念故乡而不得归的悲愁情绪。"
"写不成书
只寄得、相思一点",出自宋代 张炎《解连环·孤雁》,"解释：孤单一只的我无法排成字形，只能寄去相思情意的一点。

赏析：此句用典别出心裁，“写不成书”，用《汉书》所载苏武事，后人诗词中常以雁为传书使者，雁飞有序，呈一字形，或人字形，因孤雁排不成字，只是一只单飞，所以说“只寄得、相思一点”，透露出词人的相思之苦。"
"丛菊两开他日泪
孤舟一系故园心",出自唐代 杜甫《秋兴八首·其一》,"解释：花开花落已两载，看着盛开的花，想到两年未曾回家，就不免伤心落泪。小船还系在岸边，虽然我不能东归，飘零在外的我，心却长系故园。

赏析：此句深沉含蓄，耐人寻味，“两开”二字，实乃双关，既指菊开两度，又指泪流两回，足见诗人羁留夔州心情的凄伤，又以“孤舟系岸”比喻对故园的挂念之情。"
"男儿少为客
不辨是他乡",出自明代 李流芳《黄河夜泊》,"解释：经历了长年的四处漂泊，竟再也不觉得是客居他乡。

赏析：此句语调沉重，诗人叙述自己长年漂泊的人生经历，以久客异乡之心竟“麻木”不辨，反衬出乡情的深挚。"
"入春才七日
离家已二年",出自隋代 薛道衡《人日思归》,"解释：入春才刚刚七日，离开家已经有两年了。

赏析：此句以工整的对仗交代了时令及离家的时日，平淡的语气之中深藏着诗人离乡的忧愁。"
"何日归家洗客袍？银字笙调
心字香烧",出自宋代 蒋捷《一剪梅·舟过吴江》,"解释：什么时候才能回到家中清洗衣袍，在家调弄镶有银字的笙，点燃熏炉里心字型的盘香呢？

赏析：此句由“何日归家”四字领起，词人想象归家后洗客袍、调笙和烧香的温暖生活，“银字”和“心字”这两个装饰性的用语，又给他所向往的家庭生活，增添了美好、和谐的意味，表现了他思归的急切心情。"
"遥知兄弟登高处
遍插茱萸少一人",出自唐代 王维《九月九日忆山东兄弟》,"解释：遥想兄弟们今日登高望远时，头上插满茱萸只少我一人。

赏析：诗人遥想远在家乡的兄弟，按照重阳节的风俗而登高时，也在怀念自己，诗意含蓄深沉，朴素自然，表现出诗人无限的思乡之情。"
"天涯倦客
山中归路
望断故园心眼",出自宋代 苏轼《永遇乐·彭城夜宿燕子楼》,"解释：我是漂泊天涯的游子，已经感到十分疲倦。看那山中的归路，对着故乡家园苦苦地思念。

赏析：此句实写心境，写在天涯漂泊感到厌倦的游子，想念山中的归路，心中眼中想望故园一直到望断，极言思乡之切，带有深沉的身世之感，道出了词人无限的怅惘和感喟。"
"知有儿童挑促织
夜深篱落一灯明",出自宋代 叶绍翁《夜书所见》,"解释：忽然看到远处篱笆下的一点灯火，料想是孩子们在捉蟋蟀。

赏析：此句描写了儿童夜捉促织的情景，勾起诗人对童年生活的回忆，诗人以“篱落一灯”隐寓自己的“孤栖天涯”，流露出羁旅相思之愁。"
"行行无别语
只道早还乡",出自明代 袁凯《京师得家书》,"解释：字里行间没有其他的言语，只是告诉我要尽早回到故乡。

赏析：诗人却匠心独具，将自己的感情意绪完全抛开不写，只从家书的内容落笔，表达了对家乡和亲人的思念。"
"十年旧梦无寻处
几度新春不在家",出自宋代 吴文英《思佳客·癸卯除夜》,"解释：十年的旧梦已经无处追寻踪迹，多少个新春，我都不是在家度过。

赏析：此句用语凝练，语调悲苦，“十年旧梦”指词人的寓居生涯，他身老江湖，落拓无成，愈发思念家乡与亲人。"
"杨柳阴阴细雨晴
残花落尽见流莺",出自唐代 武元衡《春兴》,"解释：雨后初晴，细雨冲刷过的柳树苍翠欲滴，残花凋谢落尽，黄莺在枝头啼鸣。

赏析：此句描绘了一幅典型的暮春景物图画，透露出一种美好的春天景物即将消逝的意象。"
"寄语天涯客
轻寒底用愁",出自明代 于谦《除夜太原寒甚》,"解释：请告诉居住在远方的朋友，天气虽有些微的寒冷，但不必为它发愁。

赏析：此句出语平淡，诗人在除夕之夜栖身远方，又恰逢大寒，环境虽然艰苦，但诗人希望“天涯客”不必忧愁，表现出诗人对严寒的藐视和对战胜困难的信心，以及乐观向上的人生态度。"
"不知何岁月
得与尔同归？",出自唐代 韦承庆《南中咏雁诗》,"解释：不知道要等到何年何月，我才能与你们一道回到北方？

赏析：此句情真意切，出语自然，紧扣归雁，进一层抒发了诗人内心的思乡之苦和身世之悲。"
"若为化得身千亿
散上峰头望故乡",出自唐代 柳宗元《与浩初上人同看山寄京华亲故》,"解释：假如能将此身化作万万千千身，定要伫立在每个峰顶眺望故乡！

赏析：此句化用佛典中“化身”的说法，以奇异的想象和独特的艺术构思，倾吐出诗人埋藏在心底的郁抑之情。"
"寒灯思旧事
断雁警愁眠",出自唐代 杜牧《旅宿》,"解释：对着昏冷的灯火回忆起往日旧事，孤雁的哀鸣令人愁思难眠。

赏析：此句融情于景，描绘了一幅寒夜思乡图，渲染出孤清冷寂的气氛，表现出羁旅之人的深深愁绪。"
"晨起动征铎
客行悲故乡",出自唐代 温庭筠《商山早行》,"解释：黎明起床，车马的铃铎已震动；踏上遥遥征途，游子悲思故乡。

赏析：此句语言明净，含蓄有致，描写了清晨早行的情景，展现了游子们离家渐远、前途未卜的悲凉心情。"
"已恨碧山相阻隔
碧山还被暮云遮",出自宋代 李觏《乡思》,"解释：本来就恼恨眼前的青山遮断了我的视线，那重重暮云还来把青山密遮。

赏析：此句从近处着墨，写诗人凝视碧山的所见所感，用“已恨”二字领起，无限感慨已在其中，表现出诗人归乡无计的无奈和痛苦。"
"悄立市桥人不识
一星如月看多时",出自清代 黄景仁《癸巳除夕偶成》,"解释：可惜人们无法理解我的担忧，只能独自一人静悄悄地站在市桥上，仰望夜空，把一颗星星当作月亮观看了很久。

赏析：此句写诗人独自静悄悄地站在市桥上，用外形的静谧暗示内心的不平静，表现出诗人内心无法排解的忧愁和寂寞。"
"复恐匆匆说不尽
行人临发又开封",出自唐代 张籍《秋思》,"解释：又担心时间匆忙有什么没有写到之处，在送信之人即将出发前再次打开信封检查。

赏析：此句是诗人的写信时的心理活动和动作，通过将家书封好又拆开的细节，朴素而又真实地表达游子对家书的重视和对亲人的思念。"
"想得家中夜深坐
还应说着远行人",出自唐代 白居易《邯郸冬至夜思家》,"解释：想到家中亲人今日也会相聚到深夜，还应该会谈论着我这个离家在外的人。

赏析：此句质朴无华而韵味含蓄，构思精巧别致，运用想象的手法，想象谈论着自己这个远行之人，以此来表现浓烈的思乡之情。"
"黯乡魂
追旅思
夜夜除非
好梦留人睡",出自宋代 范仲淹《苏幕遮·怀旧》,"解释：默默思念故乡黯然神伤，缠人的羁旅愁思难以排遣，每天夜里除非是美梦才能留人入睡。

赏析：此句互文对举，带有强调的意味，展现出诗人思乡的情怀黯然凄怆，以及难以排遣的羁旅的愁绪。"
"他乡生白发
旧国见青山",出自唐代 司空曙《贼平后送人北归》,"解释：流落他乡头上已经生出白发，战后的家乡也只能见到青山。

赏析：此句中的“生白发”，一是形容乱离中家国之愁的深广，一是说时间的漫长，“旧国”指故乡，“见青山”指友人回到故乡，田园庐舍肯定是一片废墟，所见也惟有青山如故，流露出无限的伤感之意。"
"满月飞明镜
归心折大刀",出自唐代 杜甫《八月十五夜月二首》,"解释：窗外是满月，明镜里也是满月，思乡的情绪如同刀在心头乱割！

赏析：诗人睹月兴感，用象征团圆的八月十五的月亮反衬自己飘泊异乡的羁旅愁思，巧妙地运用了吴刚伐桂的典故，抒发了诗人思归的心愿。"
"灯前一觉江南梦
惆怅起来山月斜",出自唐代 韦庄《含山店梦觉作》,"解释：孤灯之下，一觉醒来，仿佛刚才睡梦中回到了江南；心情惆怅，起身出屋，看见一轮明月，已经斜挂山顶。

赏析：此句格调清丽柔婉，以孤灯、山月等意象渲染出一种凄然的氛围，透露出诗人的孤独与无奈。"
"水流花谢两无情
送尽东风过楚城",出自唐代 崔涂《春夕》,"解释：溪水流走，花儿凋零，这是多么无情啊。正是这无情的时节，我送着最后一缕春风吹过了楚城。

赏析：此句意境深婉，渲染出一片暮春景色，表达了对时光易逝、岁月难留的感慨，流露出浓浓的思乡之情。"
"回乐烽前沙似雪
受降城外月如霜",出自唐代 李益《夜上受降城闻笛》,"解释：回乐烽前的沙地洁白似雪，受降城外的月色有如深秋白霜。

赏析：此句描写了诗人登城时所见的边疆月下清冷之景，用“沙似雪”“月如霜”等生动的比喻，渲染了萧瑟冷清的气氛。"
