1,2,3,4,5,6,7
Jay-段嘉許,“我是一个初中生，我的目标是考上自己心仪的高中，而不是纠结一个和我未来没有关系的人喜不喜欢我。”,2021年2月23日,24275,中间人,Ice Paper,111
0xc0000142-,救命，这首歌也太方大同了,2021年2月28日,13849,中间人,Ice Paper,111
多多多的嘛,怎么会有把“WTF”说的这么温柔的人,2019年10月11日,11432,中间人,Ice Paper,111
为棋_,老子下跪的声音一定要盖过老婆摔桌子的声音,2021年2月5日,10500,中间人,Ice Paper,111
你别揪我尾巴啦,喜脉来的求求你们去听听棕旨！！超级好听！！词写的特别好！！还有心如止水和百媚生！！！都是ice paper的！！我zqsg地跟你们安利他！！！真的是宝藏男孩了呜呜呜,2019年3月21日,7612,中间人,Ice Paper,111
这次换我把你沦陷,爱意太明显会做不了朋友的.,2021年2月6日,6572,中间人,Ice Paper,111
乔乔软糖o,有人相爱，有人看海，有人听到开学一口气没喘上来,2021年2月22日,5805,中间人,Ice Paper,111
耕渔七叔,像乌云住进了身体 亮着灯也感觉压抑,2021年1月13日,5053,中间人,Ice Paper,111
Mangosteen-山竹,夏天暗恋不一定会变成热恋，但舔狗会变成热狗,2021年7月4日,5013,中间人,Ice Paper,111
-7sedm,理解真是稀有而又珍贵的东西,2019年7月31日,4319,中间人,Ice Paper,111
你又辞到了呦,现在才知道中间人和心如止水是一个人唱的,2021年12月4日,3707,中间人,Ice Paper,111
我早已逝,苯基乙胺的浓度高峰期一般可持续六个月到四年这就是一次恋爱的时间人本身就不是长情的生物至死不渝的爱情违背天性,2021年1月5日,3329,中间人,Ice Paper,111
隔山山山山山打牛,我觉得这首应该不是情歌啊，这么多人都听出了爱情吗？,2021年1月30日,3301,中间人,Ice Paper,111
帐号已注销,喜欢了她七年 给她以前唱的歌 现在我们在一起,2018年2月24日,51989,童话,光良,111
一粒馒头,曾经一首童话唱哭了多少早恋的人。,2014年12月31日,38462,童话,光良,111
乖心儿,听这些老歌就会发现好多同龄人，都是一群90初的小伙伴........真的好怀念那些年的过往，可是时间回不去了啊，有些人注定是我们人生的过客,2014年11月17日,34120,童话,光良,111
_缄箴,十年前，我听到这首歌时我还是小学生，当时听到只是觉得旋律好听，当时的我哪知道十年后我会听着这首歌趴在桌上流泪。,2014年12月23日,18348,童话,光良,111
文娜mwn,一直很喜欢这句歌词,2015年10月31日,12530,童话,光良,111
realroot,吾在天之涯，汝在地之角。不得与汝相守以死，是吾之大憾。汝之音容，终日萦绕，不可及，空余泪。若天有感，吾愿生而影与汝形相依，死而魂与汝梦相接！,2014年11月19日,11832,童话,光良,111
铁骨铮铮小宝宝,转眼间将近10年，同桌的妳如今可好！,2014年10月17日,9251,童话,光良,111
西海岸夏日忧伤,童话里都是骗人的。十年后才深深体会到这句话。就像那年听的第一次爱的人。青春就这样，缱绻的白云飘着以后只剩我一个人在那个熟悉的回忆的角落里掉眼泪。,2014年11月22日,7817,童话,光良,111
逊克杰,十年前的我天天上课前和同学们高歌，十年后一人趴在桌上边听边哭。不知道为什么，青春的不舍和后悔就像潮水般涌来，分开了多久，忘了有多久，一切的一切都过去了，我们应该幸福和快乐是结局,2014年11月8日,7049,童话,光良,111
拾肥春秋,2021年1月14日我会在结婚典礼上唱这首歌，完成十年约定！！！,2020年12月12日,6973,童话,光良,111
帐号已注销,大家可以去看看MV女主看哭的电影《情书》，不要被打扰，最佳状态看这部电影喔,2014年11月8日,5627,童话,光良,111
谈恋爱吗二缺一,告诉你们一件可怕的事，光良50岁了,2020年4月6日,4685,童话,光良,111
晚风轻踏温柔,尤咏慈到现在也不知道那一场烟花是周潇齐特意为她放的,2021年5月2日,3949,童话,光良,111
帐号已注销,我是来听“我开始慌了”的,2015年10月31日,3795,童话,光良,111
小帆纸yo,快2022年了，还有人听嘛，听的踢我，我再回来听,2021年12月5日,3691,童话,光良,111
青栀丶,也不知道为什么一直火不起来 不过自己喜欢就ok拉,2014年12月12日,20.2万,我们俩,郭顶,111
Br1an,今天老婆生日去KTV，有人点了这首歌，我当时就忍不住了，出来给他打了个国际长途，他听见之后也在那唱。我就说有你这个朋友这辈子真是值了。,2015年5月5日,11万,我们俩,郭顶,111
酥酥酥油饼,我闻到了基情的味道🌚,2016年2月4日,90749,我们俩,郭顶,111
闲云鹤子,“你经历过最孤独的事是什么？” “一个人听《我们俩》”,2016年4月5日,76281,我们俩,郭顶,111
7Kratos,这首歌证明了歌好不好听和红不红真没多大关系。。。,2016年1月18日,52020,我们俩,郭顶,111
子桃只一,这首歌已经听了很多年，从高中到大学，感触不同。中间换了各种设备，从mp3到学习机到手机又到另一部手机，这首歌都一直在我的音乐列表里，如此纯净的创作真的很少见，应该以后还会继续听着，安静时……嘈杂时……,2015年1月8日,46382,我们俩,郭顶,111
Caiqwert,没有在一起也挺好的 毕竟在我这里 你永远只有20岁,2015年3月10日,33951,我们俩,郭顶,111
丶宋岳庭的羽毛,喝醉了小河边唱着歌 永远爱你是我说过。,2015年5月19日,25053,我们俩,郭顶,111
听日说月,那天我送了他小皮筋 他自断了双臂,2021年7月5日,24319,我们俩,郭顶,111
斯蒂芬-库里__,今天我追到了我喜欢六年的女生,2021年7月17日,22310,我们俩,郭顶,111
常肉肉要听歌呢,我要和喜欢很多年男生结婚啦！！！,2021年1月17日,21493,我们俩,郭顶,111
Nebula-sss,我猛然发觉唱《我们俩》的郭顶和唱《水星计》的郭顶是同一个人！！！,2020年4月20日,20976,我们俩,郭顶,111
Tomcat-24,这首歌好像是在2010年某期的天天向上播放过，第一次听就喜欢上了这首歌。现在蓦然回首，时间已过去四五年了！,2015年4月6日,20446,我们俩,郭顶,111
大超_Monsieur,从5月20所谓的我爱你听到5月21的我爱你。晚上去mànatupa买吐司与比利时牛角时，一路上看到有情侣在拥吻，有老夫老妻出来散步，也有刚分手的默默哭泣，有一群男生也有一群女生高呼单身万岁。 爱情是一种优雅的情境，而非达成任何意图的手段。为了这种存在，你可以等多久？有人等1秒，有人等1生。,2016年5月21日,16337,我们俩,郭顶,111
捎口信吗,“到家了跟我说” 这句话其实很暖。,2021年8月2日,16324,我们俩,郭顶,111
帐号已注销,key社?就是那个喜欢给自己的曲子配游戏的音乐社团?,2016年3月12日,16.2万,Bloom of Youth,清水淳一,111
TElkT,生命中，总有些人，安然而来，静静守候，不离不弃；也有些人，浓烈如酒，疯狂似醉，却是醒来无处觅，来去都如风，梦过无痕。缘深缘浅，如此这般,2015年12月27日,95946,Bloom of Youth,清水淳一,111
坨子打月亮,你好像瘦了，头发也变长了，背影陌生到让我觉得，见你是上个世纪的事，然后你开口叫我名字，我就想笑，好像自己刚刚放学，只在楼门口等了你五分钟而已。,2016年4月22日,75822,Bloom of Youth,清水淳一,111
帐号已注销,难过就来听听，越来越难过的感觉真是太舒服了,2016年5月23日,50008,Bloom of Youth,清水淳一,111
海潮闻起来像绿色的灯火,说封面女孩的等一下，为什我我这里只能看到天空,2016年8月26日,36559,Bloom of Youth,清水淳一,111
盲僧要抱抱,我是一个精神科的护士 今早和往常一样接病人 下车以后我就懵了 两张特警车下来十多个特警 心里就开始发怂了 肯定是个会伤人躁狂的病人 就不是太想冲的前面 但我又穿着衣服也不能退在后面 后来 特警小哥哥拉了我一下让我到后面去 心里顿时暖了一下 致敬他们吧 总是在任何地方保护着我们,2018年5月2日,32156,Bloom of Youth,清水淳一,111
Sssssuoo,年轻注定是无法被困住的，它不只属于少年，它属于任何一个渴望燃烧的灵魂。,2016年3月6日,25107,Bloom of Youth,清水淳一,111
灿灿小盆友,还是二次元纯音乐好听，无论有没有看过···········,2014年7月8日,21959,Bloom of Youth,清水淳一,111
晏临书,把时间花在该花的事情里面别每天矫情每天想七想八的你还能努力的时间不多了别遇到点芝麻蒜皮的事就玻璃心只要你真正奋斗起来你就会发现自己原来很了不起记住，永远别让自己变得廉价。,2018年3月24日,21886,Bloom of Youth,清水淳一,111
_999_Y,加油我高三听这个听哭了那时我理综不及格全班倒数(PS我们是实验班)那时还是高二。。。压力太大了天天哭但是那又怎样我高考理综251总分656现在在武大加油吧！努力的人永远不会被辜负。💕,2018年9月16日,21259,Bloom of Youth,清水淳一,111
心静如水丶万物皆言,看到封面女孩的时候，单身的我就在想，要是将来有个这样卡哇伊的女儿那该有多好，就像汐一样。仔细一看，果然是key社的,2015年11月8日,14954,Bloom of Youth,清水淳一,111
铸车和观,想推荐给谁听，转头却发现早已一个人成习惯，硬是压抑住呜咽的声音,2016年7月25日,14284,Bloom of Youth,清水淳一,111
帐号已注销,觉得人生这样一天天过去，把想做和该做的事都做了，就很好，有喜欢的人或者包包，就算只能得到其中一样，也很好。,2016年2月11日,9680,Bloom of Youth,清水淳一,111
已注销用户a,双数再堵一次，单数把她删了,2021年7月22日,9245,Bloom of Youth,清水淳一,111
理工inging,我想考上贵阳一中，想出人头地，想离开这个困了我十五年的小县城，想成为一个被自己崇拜的人，想活成我最想要的样子，所以，我永远不会对着我的卷子认输，我会把那些人远远的甩在后面,2019年6月7日,7818,Bloom of Youth,清水淳一,111
洪洗象_,要求朋友变恋人是我这辈子最sb的决定。,2015年10月18日,24.1万,最佳损友,陈奕迅,111
卡罗拉阔,这首歌，总让我想象出一个画面。两人在熙熙攘攘的人群中偶遇，又被人潮给错开，其中一个人兴奋地想把手抬起来又尴尬地假装是在摸摸后脑勺，另一个人微微笑着明白了，就转身走进了人群中。想着也不知何时才能够再见到。,2014年10月13日,19.7万,最佳损友,陈奕迅,111
揪心的少女与漫长的白日梦,新朋友不知道旧脾气，老朋友不知道新生活。,2016年4月30日,17.6万,最佳损友,陈奕迅,111
我是你小超哥呀,我记得我和别人炫耀过你,2016年1月28日,93776,最佳损友,陈奕迅,111
光荣V梦想,这是黄伟文写给杨千桦的歌，黄伟文说:我知道杨小姐不成喜欢过我写给她的歌。杨只认林夕，黄，杨两人关系恶化。黄伟文写了这首歌给杨最好的朋友唱，一天杨在车上电台听到这首歌后停车在路边痛快。朋友。,2014年11月23日,68368,最佳损友,陈奕迅,111
果汁小姐,黄伟文在十年选里写下了这段话,2014年12月18日,60650,最佳损友,陈奕迅,111
咖啡瘾者,劝君更尽一杯酒，西出阳关无故人,2014年11月18日,57821,最佳损友,陈奕迅,111
帐号已注销,我接着便有许多话，想要连珠一般涌出,2015年10月27日,39945,最佳损友,陈奕迅,111
看门二大妈,却没人像你让我眼泪背着流，严重似情侣讲分手。这是让杨千嬅停车哭的一句，是啊，两个傲气到背着流眼泪，谁也不肯先认错，没什么大仇，却因此越走越远，哎。。。,2014年11月29日,38406,最佳损友,陈奕迅,111
一步目T,老友 愿你无忧。这首歌的每字每句都让我想起你，没那么多共同话题了，我也不是躲着你，记着你走进过我世界，自习偷偷跑掉玩儿一节课，坐在教学楼后面聊天听歌，你陪我走到家门口。无论什么时候你想找人谈谈心 我都会在这儿，即使从前那么要好已经回不去了,2014年12月4日,29065,最佳损友,陈奕迅,111
烏龍茶_TEA,杨千嬅挺着巨肚站在黄伟文(wyman)作品演唱会的舞台上，一袭黑纱，摸着肚子唱《可惜我是水瓶座》，《勇》以及《野孩子》。唱完三首，黄伟文左手捧花，右手推着婴儿车，上前拥抱这个大肚婆，杨千嬅带着哭花的脸，从台上降落。 一抱泯恩仇。 这就是最佳损友,2015年11月10日,28124,最佳损友,陈奕迅,111
super1987,被推着走，跟着生活流，所以朋友，对不起，有时候立场变了，各自都有各自的无奈,2014年10月18日,22713,最佳损友,陈奕迅,111
Lonely彬蔚,最感慨“位置变了，各有队友”的难道只有我一个？,2016年1月17日,22373,最佳损友,陈奕迅,111
爱吃榴莲的小狸,“ 到现在我还幻想着有那么一天 在深夜 清晨或者午后 你会给我发一条长长的信息 简短一点也没关系 告诉我你想回心转意 ” ​​,2018年3月1日,20028,最佳损友,陈奕迅,111
磔__,旧知己却变不成老友,2014年11月8日,19230,最佳损友,陈奕迅,111
砂女,有些人觉得评论装逼矫情，却不知道他们用了多少气力把情伤写成看似平淡无奇的句子。可以不懂，但还请不要妄自评价好坏。,2015年1月3日,33万,富士山下,陈奕迅,111
富土康下,你喜欢一个人，就像喜欢富士山。你可以看到它，但是不能搬走它。你有什么方法可以移动一座富士山呢？回答是，你自己走过去。爱情也是如此，逛过就已经足够。,2014年10月13日,25.1万,富士山下,陈奕迅,111
帐号已注销,人这辈子，最害怕突然把某一首歌听懂了,2016年3月4日,16.1万,富士山下,陈奕迅,111
0262yy,"""试管里找不到它染污眼眸""取自英文句子——can not identify sadness through test tube。悲伤不是一种实质的东西，不能从试管里(化学，比喻真实的物质)里提炼出来，既然如此，为何不把这种感觉当成是虚构的呢？",2015年4月24日,88729,富士山下,陈奕迅,111
小羊的小朋友,后来我也想通了，就像我爱海，我也不能跳海,2016年2月17日,67910,富士山下,陈奕迅,111
晓棠,其实，你喜欢一个人，就像喜欢富士山。你可以看到它，但是不能搬走它。你有什么方法可以移动一座富士山呢？回答是，你自己走过去。爱情也是如此，逛过就已经足够。,2014年10月7日,48252,富士山下,陈奕迅,111
sj1004,得不到的永远是最好的，其实哪里有你想的那么好？,2014年10月10日,43273,富士山下,陈奕迅,111
比较月光,大学时我前桌的你阳光依然在梦中穿过你的黑发。从分开后我用了七年还清了父母的欠债，今天买了机票飞去哈尔滨偷偷看你，就像当年在食堂、图书馆那样偷偷的看着你，你有了丈夫和一个美丽的小公主真心的祝福你！这是最后一次听这首那时候我们最喜欢的歌。我爱你,2016年1月6日,41411,富士山下,陈奕迅,111
以天为宇,十年浮夸终成孤独患者，明年今日相约富士山下。,2015年7月19日,39745,富士山下,陈奕迅,111
陈西杉,这首歌不能在人前听，真的会哭啊。谁能凭爱意要富士山私有？喜欢他就像喜欢富士山，你满腔爱意却永不能拥有。他风姿葳蕤是他的事情，你求而不得是你的事情。世间那么多的山川河流，你偏爱这一座。初见惊艳的那一刻，你就失去它了。要拥有必先懂失去怎接受。虽不能拥有你，但希望你恒古不变，芳草长青。,2015年4月18日,32933,富士山下,陈奕迅,111
那一个少年呀,那天你喝醉了，在台上说哇我喝了好多酒哇谁都认不出来啦。而我在桌边努力的吃菜。我呀，我是小学帮你集魔法士卡片的喽啰。我是初中三楼楼道飞奔接住你的大侠。我是高中陪你泡肯德基夜场的道友。我是大学给你寄了那天黑裙子的菩萨。我是在你这婚礼上红着眼祝百年好合的败狗。,2019年2月6日,27573,富士山下,陈奕迅,111
溪溪溪溪ya,你每次都是用力过猛，感情刚开始，你便奋不顾身，背水一战，不留一点儿后路。而对方，却不显山不露水，给予的恰到好处。哪怕分开多年后，你仍不知自己输在哪里。,2018年4月10日,27323,富士山下,陈奕迅,111
金融痞子,三角恋的故事《富士山下》是那个被爱的男的规劝女方忘了他 《爱情转移》是那个被抛弃的备胎自我述说,2014年10月10日,21730,富士山下,陈奕迅,111
wiloness,归家需要几里路谁能预算,2014年10月6日,18276,富士山下,陈奕迅,111
___---------------,倘若在我崩溃绝望时你能有半句回应无论我有多么狼狈不堪我都会回来拥抱你,2019年7月3日,13965,富士山下,陈奕迅,111
卷卷卷陈,我来到你的城市，你却不管饭吃。。。你会不会忽然的出现，在街角的挖掘机上面,2014年10月29日,23.6万,好久不见,陈奕迅,111
擦身而过的心酸,跟她分手一年了 一直想再偷偷看她一面 每天都会有意开着出租车去那条路 始终没遇到过 今天早晨开着出租车依旧习惯开到那条路 看到不远处有个女生对着我开的出租车招手 是她 样子没变 扎着马尾 我把车停下来了 她开门看到是我 时间凝结了三秒钟 她把车门合上了没上车 我也只是对着后视镜说了句 好久不见,2015年1月13日,19.3万,好久不见,陈奕迅,111
夏天的夏丶,"这是我今年参加的第三次相亲。一坐下来妈妈便开始讲起对面那女孩的种种优点来，中心思想就是我必须娶她回家当老婆。我妈妈讲完，对方的妈妈又开始向她女儿夸起我来.半个钟头过后两位妈妈才互相打了一个眼色离开餐桌把我们两人单独留下.我和她静静对视了一分钟,“好久不见。”她先开口道",2016年3月2日,18.9万,好久不见,陈奕迅,111
娅菲lili,我只是想说，忘记一个人根本是需要时间的，再久，回想起依然痛，因为走过内心。忘记一个人需要的是另外一个人来代替这份空缺。虽然残忍，却很有效。想对某人说，好久不见，想象中的画面如歌很凄美，但现实永远很龌龊·······不管怎样这首歌伴了我5年了······,2014年10月28日,70271,好久不见,陈奕迅,111
chency96,跟他分手一年，每天都去他经常跑出租的地方， 始终没有遇到过，今天早晨依旧习惯性的走到那条路打车，看到不远处有辆出租车开过来，我对司机招手，我 没带眼镜，正脸好面熟，右耳带着蓝牙，他把车停下来了，我开门看到是他，时间凝结了三秒钟，我把门合上了没上车，我也只是对着车尾说了句，好久不见。,2016年2月14日,68015,好久不见,陈奕迅,111
卷烟童子,校服是我和她唯一穿过的情侣装，毕业照是我和她唯一的合影。,2015年10月27日,48932,好久不见,陈奕迅,111
你是山川河流的大梦一场,这首歌跟《先走的人极其嚣张》好像，我很喜欢。 “用一场死亡 治好昨日的伤 指着心脏开了一枪”“假设会死亡 枪法能否获奖 活着的人不痛不痒”“生命太漫长屡遭暗算 岁月指证 时光说谎”“就像她走时嚣张 说来日方长 却落得如此下场”...,2018年6月3日,47565,好久不见,陈奕迅,111
呛死的小强,分开后了听你就知道这首歌是什么歌了！,2014年10月30日,43874,好久不见,陈奕迅,111
j冷暖自知,人这辈子，最害怕突然把某一首歌听懂了,2015年11月19日,40268,好久不见,陈奕迅,111
御坂妹20001,那天，我忍不住对她的思念，拨通了一直存在通讯录里 那个 最熟悉的陌生人…… 嘟嘟嘟 夜深人静，电话里的声音显得格外的清晰，突然手机一震，喂……一个熟悉的声音从听筒里传来。啊，是她，是我最熟悉的那个她的声音，不过有点沙哑了……一瞬间，泪奔了。她挂了电话，我还是没有勇气说出一句，好久不见,2017年8月18日,28950,好久不见,陈奕迅,111
